Ano;Mês;UF;  IRPF  
2002;Abril;TO; 1,219,506 
2002;Maio;AC;702
2002;Maio;AL; 2,820,830 
2002;Maio;AP;557
2002;Maio;AM; 6,344,717 
2002;Maio;BA; 10,449,673 
2002;Maio;CE; 9,139,698 
2002;Maio;DF; 17,522,107 
2002;Maio;ES; 6,120,119 
2002;Maio;GO;  8,636,730  
2002;Maio;MA; 2,478,146 
2002;Maio;MT; 3,554,230 
2002;Maio;MS; 5,655,211 
2002;Maio;MG; 33,760,786 
2002;Maio;PA; 4,547,809 
2002;Maio;PB; 3,446,586 
2002;Maio;PR; 27,811,590 
2002;Maio;PE; 14,506,712 
2002;Maio;PI; 2,317,941 
2002;Maio;RJ; 88,035,876 
2002;Maio;RN; 3,227,879 
2002;Maio;RS; 38,172,749 
2002;Maio;RO; 1,770,309 
2002;Maio;RR;627
2002;Maio;SC; 14,508,184 
2002;Maio;SP; 189,328,146 
2002;Maio;SE; 6,654,637 
2002;Maio;TO;728
2002;Junho;AC;602
2002;Junho;AL; 2,211,362 
2002;Junho;AP;493
2002;Junho;AM; 3,883,364 
2002;Junho;BA; 8,080,265 
2002;Junho;CE; 6,522,263 
2002;Junho;DF; 11,223,522 
2002;Junho;ES; 4,838,000 
2002;Junho;GO;  6,839,486  
2002;Junho;MA; 1,980,182 
2002;Junho;MT; 3,189,697 
2002;Junho;MS; 4,825,718 
2002;Junho;MG; 27,364,374 
2002;Junho;PA; 3,913,284 
2002;Junho;PB; 2,724,798 
2002;Junho;PR; 22,838,450 
2002;Junho;PE; 8,119,162 
2002;Junho;PI; 1,888,726 
2002;Junho;RJ; 75,382,995 
2002;Junho;RN; 2,765,282 
2002;Junho;RS; 29,718,559 
2002;Junho;RO; 1,667,290 
2002;Junho;RR;573
2002;Junho;SC; 9,790,038 
2002;Junho;SP; 161,351,445 
2002;Junho;SE; 2,535,484 
2002;Junho;TO;621
2002;Julho;AC;669
2002;Julho;AL; 3,637,344 
2002;Julho;AP;519
2002;Julho;AM; 3,565,305 
2002;Julho;BA; 8,717,905 
2002;Julho;CE; 7,152,357 
2002;Julho;DF; 12,684,367 
2002;Julho;ES; 4,913,100 
2002;Julho;GO;  6,761,044  
2002;Julho;MA; 2,257,859 
2002;Julho;MT; 3,359,824 
2002;Julho;MS; 4,801,301 
2002;Julho;MG; 25,974,866 
2002;Julho;PA; 4,074,031 
2002;Julho;PB; 3,049,761 
2002;Julho;PR; 23,842,310 
2002;Julho;PE; 8,564,601 
2002;Julho;PI; 2,025,183 
2002;Julho;RJ; 76,689,598 
2002;Julho;RN; 3,165,057 
2002;Julho;RS; 32,030,043 
2002;Julho;RO; 1,495,273 
2002;Julho;RR;583
2002;Julho;SC; 10,177,698 
2002;Julho;SP; 164,326,410 
2002;Julho;SE; 2,468,020 
2002;Julho;TO;629
2002;Agosto;AC;576
2002;Agosto;AL; 2,273,742 
2002;Agosto;AP;492
2002;Agosto;AM; 3,292,707 
2002;Agosto;BA; 7,907,095 
2002;Agosto;CE; 7,058,379 
2002;Agosto;DF; 10,633,104 
